shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10002,43.449210,-80.492845,10001
10002,43.449277,-80.493005,10002
10002,43.449441,-80.493387,10003
10002,43.449566,-80.493324,10004
10002,43.449764,-80.493223,10005
10002,43.450069,-80.493072,10006
10002,43.449448,-80.491113,10007
10002,43.449294,-80.490755,10008
10002,43.448921,-80.490017,10009
10002,43.448739,-80.489524,10010
10002,43.448356,-80.488341,10011
10002,43.448633,-80.488054,10012
10002,43.448777,-80.487942,10013
10002,43.449172,-80.487667,10014
10002,43.449693,-80.487353,10015
10002,43.449709,-80.487342,10016
10002,43.449709,-80.487342,20001
10002,43.450321,-80.486940,20002
10002,43.450869,-80.486503,20003
10002,43.451220,-80.486222,20004
10002,43.451220,-80.486222,30001
10002,43.451353,-80.486116,30002
10002,43.450598,-80.484503,30003
10002,43.450503,-80.484294,30004
10002,43.450503,-80.484294,40001
10002,43.449307,-80.481659,40002
10002,43.449540,-80.481459,40003
10002,43.449752,-80.480859,40004
10002,43.449752,-80.480859,50001
10002,43.450109,-80.479848,50002
10002,43.450278,-80.479340,50003
10002,43.450395,-80.479001,50004
10002,43.450395,-80.479001,60001
10002,43.450669,-80.478212,60002
10002,43.451036,-80.477175,60003
10002,43.451036,-80.477175,70001
10002,43.451060,-80.477108,70002
10002,43.451433,-80.475980,70003
10002,43.451558,-80.475633,70004
10002,43.451824,-80.474852,70005
10002,43.451934,-80.474530,70006
10002,43.451934,-80.474530,80001
10002,43.452188,-80.473786,80002
10002,43.452562,-80.472720,80003
10002,43.452696,-80.472316,80004
10002,43.452696,-80.472316,90001
10002,43.452908,-80.471679,90002
10002,43.453313,-80.470466,90003
10002,43.453313,-80.470466,100001
10002,43.453343,-80.470377,100002
10002,43.453734,-80.469224,100003
10002,43.453980,-80.468509,100004
10002,43.453980,-80.468509,110001
10002,43.454045,-80.468319,110002
10002,43.454222,-80.467749,110003
10002,43.454294,-80.467549,110004
10002,43.454294,-80.467549,120001
10002,43.454525,-80.466906,120002
10002,43.454747,-80.466249,120003
10002,43.455111,-80.465183,120004
10002,43.455866,-80.463038,120005
10002,43.456000,-80.462678,120006
10002,43.456109,-80.462489,120007
10002,43.456109,-80.462489,130001
10002,43.456214,-80.462305,130002
10002,43.456357,-80.462131,130003
10002,43.456617,-80.461881,130004
10002,43.456761,-80.461781,130005
10002,43.457012,-80.461532,130006
10002,43.457235,-80.461221,130007
10002,43.457280,-80.461139,130008
10002,43.457280,-80.461139,140001
10002,43.457396,-80.460923,140002
10002,43.457556,-80.460489,140003
10002,43.457867,-80.459497,140004
10002,43.458337,-80.457973,140005
10002,43.458370,-80.457859,140006
10002,43.458370,-80.457859,150001
10002,43.458443,-80.457613,150002
10002,43.458505,-80.457489,150003
10002,43.458649,-80.457401,150004
10002,43.458784,-80.457400,150005
10002,43.458830,-80.455681,150006
10002,43.458792,-80.455224,150007
10002,43.458672,-80.454669,150008
10002,43.458533,-80.454136,150009
10002,43.458533,-80.454136,160001
10002,43.458369,-80.453510,160002
10002,43.457663,-80.450748,160003
10002,43.457566,-80.450383,160004
10002,43.457566,-80.450383,170001
10002,43.457479,-80.450057,170002
10002,43.457241,-80.449206,170003
10002,43.457537,-80.448981,170004
10002,43.457725,-80.448757,170005
10002,43.457832,-80.448546,170006
10002,43.457911,-80.448326,170007
10002,43.457911,-80.448326,180001
10002,43.457974,-80.448149,180002
10002,43.458019,-80.447988,180003
10002,43.458329,-80.447083,180004
10002,43.458628,-80.447290,180005
10002,43.458719,-80.447388,180006
10002,43.458719,-80.447388,190001
10002,43.459542,-80.448271,190002
10002,43.460100,-80.448880,190003
10002,43.460100,-80.448880,200001
10002,43.460103,-80.448884,200002
10002,43.460257,-80.449006,200003
10002,43.460585,-80.448039,200004
10002,43.461100,-80.446513,200005
10002,43.461257,-80.446055,200006
10002,43.461257,-80.446055,210001
10002,43.461491,-80.445373,210002
10002,43.461695,-80.444777,210003
10002,43.461765,-80.444418,210004
10002,43.461773,-80.444134,210005
10002,43.461708,-80.443727,210006
10002,43.461617,-80.443505,210007
10002,43.461489,-80.443271,210008
10002,43.461381,-80.443149,210009
10002,43.461236,-80.443026,210010
10002,43.460257,-80.442355,210011
10002,43.460257,-80.442355,220001
10002,43.460007,-80.442185,220002
10002,43.460831,-80.439772,220003
10002,43.460831,-80.439772,230001
10002,43.460931,-80.439481,230002
10002,43.460966,-80.439407,230003
10002,43.461029,-80.439283,230004
10002,43.461404,-80.438612,230005
10002,43.461573,-80.438264,230006
10002,43.461706,-80.437855,230007
10002,43.461776,-80.437508,230008
10002,43.461800,-80.437304,230009
10002,43.461800,-80.437304,240001
10002,43.461837,-80.436976,240002
10002,43.461584,-80.436904,240003
10002,43.461332,-80.436808,240004
10002,43.460953,-80.436626,240005
10002,43.460718,-80.436504,240006
10002,43.460465,-80.436321,240007
10002,43.460248,-80.436150,240008
10002,43.460094,-80.436003,240009
10002,43.459859,-80.435758,240010
10002,43.459469,-80.435317,240011
10002,43.459317,-80.435161,240012
10002,43.459317,-80.435161,250001
10002,43.458836,-80.434668,250002
10002,43.458573,-80.434373,250003
10002,43.458256,-80.434018,250004
10002,43.458075,-80.433785,250005
10002,43.457948,-80.433600,250006
10002,43.457821,-80.433391,250007
10002,43.457703,-80.433158,250008
10002,43.457584,-80.432850,250009
10002,43.457493,-80.432566,250010
10002,43.457373,-80.432036,250011
10002,43.457281,-80.431542,250012
10002,43.456364,-80.431872,250013
10002,43.456359,-80.431875,250014
10002,43.456359,-80.431875,260001
10002,43.456112,-80.431998,260002
10002,43.455870,-80.432149,260003
10002,43.455646,-80.432336,260004
10002,43.455485,-80.432536,260005
10002,43.455333,-80.432735,260006
10002,43.455154,-80.433033,260007
10002,43.454636,-80.433940,260008
10002,43.454427,-80.434358,260009
10002,43.454427,-80.434358,270001
10002,43.454387,-80.434437,270002
10002,43.454075,-80.435095,270003
10002,43.453921,-80.435455,270004
10002,43.453921,-80.435455,280001
10002,43.453826,-80.435678,280002
10002,43.453603,-80.436286,280003
10002,43.453523,-80.436509,280004
10002,43.453338,-80.437154,280005
10002,43.453098,-80.437898,280006
10002,43.452778,-80.438873,280007
10002,43.452778,-80.438873,290001
10002,43.452708,-80.439088,290002
10002,43.452309,-80.440303,290003
10002,43.452202,-80.440600,290004
10002,43.451660,-80.440271,290005
10002,43.451515,-80.440162,290006
10002,43.451238,-80.439865,290007
10002,43.451238,-80.439865,300001
10002,43.450728,-80.439316,300002
10002,43.450017,-80.440278,300003
10002,43.450017,-80.440278,310001
10002,43.449726,-80.440672,310002
10002,43.449521,-80.441119,310003
10002,43.449424,-80.441565,310004
10002,43.449270,-80.442329,310005
10002,43.449270,-80.442329,320001
