shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10001,43.423253,-80.441242,10001
10001,43.423503,-80.441554,10002
10001,43.423750,-80.441969,10003
10001,43.423133,-80.442704,10004
10001,43.423008,-80.442856,10005
10001,43.423008,-80.442856,20001
10001,43.422356,-80.443647,20002
10001,43.422215,-80.443408,20003
10001,43.421989,-80.443160,20004
10001,43.421951,-80.443121,20005
10001,43.421750,-80.442986,20006
10001,43.421068,-80.442757,20007
10001,43.421412,-80.440733,20008
10001,43.421418,-80.440698,20009
10001,43.421418,-80.440698,30001
10001,43.421649,-80.439362,30002
10001,43.421683,-80.439167,30003
10001,43.421777,-80.438814,30004
10001,43.421878,-80.438532,30005
10001,43.421970,-80.438318,30006
10001,43.422046,-80.438164,30007
10001,43.422083,-80.438076,30008
10001,43.422557,-80.437254,30009
10001,43.422691,-80.437021,30010
10001,43.423384,-80.435796,30011
10001,43.423452,-80.435673,30012
10001,43.423827,-80.435075,30013
10001,43.424115,-80.434681,30014
10001,43.424115,-80.434681,40001
10001,43.424265,-80.434475,40002
10001,43.424398,-80.434333,40003
10001,43.424503,-80.434242,40004
10001,43.425061,-80.433789,40005
10001,43.425314,-80.433612,40006
10001,43.425930,-80.433273,40007
10001,43.426130,-80.433181,40008
10001,43.426396,-80.433093,40009
10001,43.426681,-80.433017,40010
10001,43.427193,-80.432908,40011
10001,43.427671,-80.432679,40012
10001,43.428476,-80.432191,40013
10001,43.428670,-80.432049,40014
10001,43.428893,-80.431969,40015
10001,43.428893,-80.431969,50001
10001,43.428993,-80.431933,50002
10001,43.429155,-80.431902,50003
10001,43.429354,-80.431899,50004
10001,43.429818,-80.431924,50005
10001,43.430097,-80.431883,50006
10001,43.430271,-80.431810,50007
10001,43.430426,-80.431714,50008
10001,43.430456,-80.431689,50009
10001,43.430456,-80.431689,60001
10001,43.430570,-80.431591,60002
10001,43.431250,-80.430899,60003
10001,43.432103,-80.430073,60004
10001,43.432237,-80.429952,60005
10001,43.432237,-80.429952,70001
10001,43.432682,-80.429552,70002
10001,43.432779,-80.429644,70003
10001,43.433667,-80.430602,70004
10001,43.434102,-80.431184,70005
10001,43.434102,-80.431184,80001
10001,43.434289,-80.431435,80002
10001,43.434605,-80.431794,80003
10001,43.435016,-80.432133,80004
10001,43.435597,-80.432749,80005
10001,43.435766,-80.432482,80006
10001,43.435766,-80.432482,90001
10001,43.435924,-80.432230,90002
10001,43.436334,-80.431750,90003
10001,43.436914,-80.430819,90004
10001,43.437122,-80.431045,90005
10001,43.437122,-80.431045,100001
10001,43.438359,-80.432391,100002
10001,43.439066,-80.433154,100003
10001,43.439066,-80.433154,110001
10001,43.439307,-80.433414,110002
10001,43.439711,-80.433914,110003
10001,43.439982,-80.434317,110004
10001,43.440213,-80.434714,110005
10001,43.441182,-80.436698,110006
10001,43.441518,-80.437293,110007
10001,43.441882,-80.437818,110008
10001,43.442155,-80.438157,110009
10001,43.442560,-80.438594,110010
10001,43.443083,-80.439055,110011
10001,43.443083,-80.439055,120001
10001,43.443181,-80.439142,120002
10001,43.444587,-80.440345,120003
10001,43.445594,-80.441231,120004
10001,43.445823,-80.441428,120005
10001,43.445823,-80.441428,130001
10001,43.446100,-80.441665,130002
10001,43.446383,-80.441856,130003
10001,43.446914,-80.442147,130004
10001,43.447159,-80.442250,130005
10001,43.447159,-80.442250,140001
10001,43.447339,-80.442326,140002
10001,43.447968,-80.442662,140003
10001,43.448572,-80.442963,140004
10001,43.449089,-80.443222,140005
10001,43.449488,-80.443455,140006
10001,43.449488,-80.443455,150001
10001,43.449700,-80.443580,150002
10001,43.450881,-80.444334,150003
10001,43.451371,-80.444649,150004
10001,43.451371,-80.444649,160001
10001,43.452059,-80.445093,160002
10001,43.453328,-80.445922,160003
10001,43.453328,-80.445922,170001
10001,43.453935,-80.446318,170002
10001,43.454600,-80.446738,170003
10001,43.455030,-80.447022,170004
10001,43.455030,-80.447022,180001
10001,43.455136,-80.447092,180002
10001,43.456215,-80.447798,180003
10001,43.456575,-80.448101,180004
10001,43.456888,-80.448491,180005
10001,43.457144,-80.448955,180006
10001,43.457240,-80.449204,180007
10001,43.457478,-80.450056,180008
10001,43.457585,-80.450463,180009
10001,43.457585,-80.450463,190001
10001,43.457661,-80.450751,190002
10001,43.458373,-80.453505,190003
10001,43.458672,-80.454672,190004
10001,43.458722,-80.454896,190005
10001,43.458722,-80.454896,200001
10001,43.458794,-80.455229,200002
10001,43.458834,-80.455678,200003
10001,43.458785,-80.457395,200004
10001,43.458649,-80.457400,200005
10001,43.458509,-80.457485,200006
10001,43.458445,-80.457607,200007
10001,43.458333,-80.457973,200008
10001,43.458246,-80.458256,200009
10001,43.458246,-80.458256,210001
10001,43.457864,-80.459503,210002
